# > host: RA(deg) dec(deg) Ks_mag rstar(rsun) mstar(msun) teff(K) log_g metallicity(dex)
# planet: T14(h) rplanet(rearth) mplanet(mearth) semi-major_axis(AU) period(d) t_eq(K) is_min_mass
 TOI-2768 b: 1.032 2.630 nan 0.0270 1.50801 955.5 0
>TOI-277: 19.0766985 -20.9532772 9.557 0.360 0.160 4031.0 4.58 -0.01
 TOI-277 b: 1.969 2.650 nan 0.0269 3.99400 711.1 0
>TOI-2796: 84.1527191 0.8962788 10.936 1.070 1.060 5764.0 4.40 0.24
 TOI-2796 b: 1.960 17.262 139.845 0.0569 4.80850 1205.3 0
>TOI-2803 A: 93.1147397 -23.4924956 11.282 1.250 1.120 6280.0 4.30 -0.10
 TOI-2803 A b: 3.091 18.114 309.883 0.0319 1.96229 1897.1 0
>TOI-2818: 119.0598183 -35.1167104 10.403 1.230 0.980 5721.0 4.25 -0.02
 TOI-2818 b: 3.804 15.278 225.658 0.0493 4.03971 1378.0 0
>TOI-2842: 108.0442066 -10.6393400 11.062 1.260 1.140 5910.0 4.29 0.23
 TOI-2842 b: 2.575 12.845 117.597 0.0475 3.55141 1467.8 0
>TOI-286: 90.9842762 -60.6663348 7.851 0.780 0.830 5152.0 4.59 -0.05
 TOI-286 b: 2.040 1.420 4.530 0.0503 4.51172 978.3 0
 TOI-286 c: 4.970 1.880 3.720 0.2130 39.36183 475.4 0
>TOI-2977: 143.9265177 -60.3574758 10.666 1.070 0.940 5691.0 4.35 0.01
 TOI-2977 b: 2.934 13.159 533.952 0.0339 2.35056 1542.7 0
>TOI-2981: 163.4873940 -25.5245988 11.780 1.080 1.030 5940.0 4.28 -0.11
 TOI-2981 b: 3.070 13.400 638.000 0.0480 3.60150 1358.7 0
>TOI-3023: 165.3158231 -72.3567044 10.243 1.670 1.120 5760.0 4.05 0.09
 TOI-3023 b: 4.961 16.432 197.054 0.0505 3.90150 1597.2 0
>TOI-3071: 173.2790517 -56.5033871 11.005 1.310 1.290 6177.0 4.37 0.35
 TOI-3071 b: 1.850 7.160 68.200 0.0249 1.26694 2160.5 0
>TOI-3082: 195.9080719 -19.2189845 9.881 0.680 0.660 4263.0 4.62 0.17
 TOI-3082 b: 1.400 3.662 nan 0.0269 1.92691 1032.8 0
>TOI-3235: 207.4738488 -46.0665139 10.819 0.370 0.390 3388.8 4.90 0.26
 TOI-3235 b: 1.480 11.400 211.356 0.0271 2.59262 603.9 0
>TOI-3261: 47.7285242 -73.5319720 11.184 0.850 0.860 5068.0 4.19 0.14
 TOI-3261 b: 1.618 3.820 30.300 0.0171 0.88313 1721.0 0
>TOI-329: 351.3210955 -15.6346313 9.677 1.530 1.070 5614.0 4.09 0.20
 TOI-329 b: 4.208 4.941 40.400 0.0638 5.70439 1325.7 0
>TOI-332: 348.0589516 -44.8764852 10.315 0.870 0.880 5251.0 4.46 0.26
 TOI-332 b: 1.520 3.200 57.200 0.0159 0.77704 1873.0 0
>TOI-3321: 265.7603351 -65.0082516 9.670 1.550 1.040 5850.0 4.08 -0.10
 TOI-3321 b: 4.310 15.558 176.077 0.0470 3.65251 1620.0 0
>TOI-3331 A: 271.3241672 -34.1071710 9.914 0.950 1.020 5609.0 4.49 0.15
 TOI-3331 A b: 2.123 12.980 721.470 0.0314 2.01802 1486.8 0
>TOI-3353: 106.5298146 -75.8195594 7.779 1.020 1.330 6365.0 4.55 nan
 TOI-3353.01: 3.041 2.667 nan 0.0601 4.66580 1264.2 0
>TOI-3362: 155.9841428 -56.8431169 9.693 1.830 1.450 6532.0 4.07 0.02
 TOI-3362 b: 2.627 12.801 1598.359 0.1530 18.09547 1089.3 0
>TOI-3364: 144.5377709 -49.3352226 9.783 1.420 1.190 5706.0 4.21 0.39
 TOI-3364 b: 4.646 12.229 530.773 0.0675 5.87689 1262.0 0
>TOI-3540 A: 328.9113712 28.1794996 9.784 1.230 1.080 5810.0 4.29 0.18
 TOI-3540 A b: 1.901 23.539 375.038 0.0429 3.12000 1500.3 0
>TOI-3568: 322.6023682 34.7395805 10.581 0.720 0.780 4969.0 4.63 -0.01
 TOI-3568 b: 2.450 5.300 26.400 0.0485 4.41796 923.2 0
>TOI-3629: 359.7933851 39.3142556 10.553 0.600 0.630 3870.0 4.67 0.40
 TOI-3629 b: 2.200 8.295 82.635 0.0430 3.93655 697.1 0
>TOI-3688 A: 39.2823371 54.8512152 10.732 1.300 1.200 5950.0 4.29 0.26
 TOI-3688 A b: 3.482 13.081 311.472 0.0456 3.24607 1531.9 0
>TOI-3693: 15.6543938 51.3038918 10.151 0.790 0.870 5321.0 4.58 0.07
 TOI-3693 b: 3.557 12.599 324.185 0.0813 9.08852 799.8 0
>TOI-3714: 69.5523415 39.4580035 10.852 0.510 0.530 3660.0 4.75 0.10
 TOI-3714 b: 1.660 11.321 222.480 0.0270 2.15485 767.0 0
>TOI-3757: 91.0036423 55.0199793 11.152 0.620 0.640 3913.0 4.68 0.00
 TOI-3757 b: 1.920 12.000 85.300 0.0384 3.43875 757.7 0
>TOI-3785: 130.9002258 63.0780768 10.165 0.500 0.520 3576.0 4.75 0.10
 TOI-3785 b: 1.700 5.140 14.950 0.0430 4.67474 588.0 0
>TOI-3807: 139.1125648 69.0741284 10.617 1.470 1.180 5772.0 4.17 0.28
 TOI-3807 b: 1.780 18.495 330.542 0.0421 2.89897 1644.7 0
>TOI-3819: 121.8632568 29.3886446 11.077 1.540 1.240 5859.0 4.16 0.27
 TOI-3819 b: 2.779 13.137 352.790 0.0461 3.24431 1632.7 0
>TOI-3884: 181.5718341 12.5070258 10.240 0.300 0.300 3180.0 4.97 0.04
 TOI-3884 b: 1.600 6.430 32.590 0.0361 4.54458 442.0 0
>TOI-3894: 201.3748265 52.7681036 10.479 1.500 1.140 6000.0 4.14 0.02
 TOI-3894 b: 3.595 15.278 260.619 0.0535 4.33454 1531.4 0
>TOI-3912: 215.8014956 24.0765639 10.922 1.390 1.090 5725.0 4.19 0.19
 TOI-3912 b: 3.557 14.280 129.038 0.0463 3.49363 1512.6 0
>TOI-3919: 208.9447534 40.3918061 11.502 1.320 1.210 6100.0 4.28 0.17
 TOI-3919 b: 3.854 12.319 1233.174 0.0795 7.43323 1198.6 0
>TOI-3976 A: 224.3560083 44.2743223 11.048 1.500 1.250 5975.0 4.18 0.18
 TOI-3976 A b: 4.517 12.274 55.620 0.0743 6.60766 1294.6 0
>TOI-3984 A: 226.3371468 36.7869747 11.052 0.470 0.490 3476.0 4.81 0.18
 TOI-3984 A b: 2.010 7.900 44.000 0.0410 4.35333 567.5 0
>TOI-4010: 20.2148196 66.0722009 10.157 0.830 0.880 4960.0 4.54 0.37
 TOI-4010 b: 1.770 3.020 11.000 0.0229 1.34834 1439.9 0
 TOI-4010 c: 2.770 5.930 20.310 0.0580 5.41465 904.8 0
 TOI-4010 d: 3.600 6.180 38.150 0.1130 14.70886 648.2 0
 TOI-4010 e: nan nan 692.000 1.5700 762.00000 173.9 1
>TOI-406: 49.2626428 -42.2441492 8.848 0.390 0.480 3349.0 4.94 nan
 TOI-406.01: 2.157 1.960 nan 0.0855 13.17573 344.9 0
>TOI-4087: 217.9257785 83.3727061 10.436 1.110 1.180 6060.0 4.42 0.24
 TOI-4087 b: 2.984 13.047 232.015 0.0447 3.17748 1456.3 0
>TOI-4127: 105.4045516 72.4149297 10.245 1.290 1.230 6096.0 4.26 0.14
 TOI-4127 b: 4.069 12.285 731.005 0.3081 56.39879 601.5 0
>TOI-4137: 77.6128790 70.3910790 10.004 1.440 1.310 6202.0 4.24 0.18
 TOI-4137 b: 3.430 13.574 457.673 0.0522 3.80161 1570.5 0
>TOI-4145 A: 39.4297435 80.2673838 10.286 0.860 0.910 5281.0 4.53 0.17
 TOI-4145 A b: 2.106 13.305 136.666 0.0482 4.06644 1075.3 0
>TOI-4153: 335.3934698 82.2160792 10.296 1.600 1.570 6860.0 4.22 0.32
 TOI-4153 b: 4.512 16.119 365.503 0.0631 4.61741 1665.6 0
>TOI-4184: 43.8284749 -79.4147039 11.867 0.230 0.210 3238.0 5.01 -0.27
 TOI-4184 b: 1.300 2.430 nan 0.0336 4.90198 408.5 0
>TOI-4201: 90.4747237 -13.4613710 11.368 0.630 0.610 3794.0 4.64 0.52
 TOI-4201 b: 2.150 13.675 788.214 0.0400 3.58192 726.1 0
>TOI-421: 81.8532824 -14.2767404 8.071 0.870 0.830 5291.0 4.48 -0.04
 TOI-421 b: 1.090 2.640 6.700 0.0554 5.19758 1011.1 0
 TOI-421 c: 2.755 5.090 14.100 0.1170 16.06754 695.7 0
>TOI-4308: 327.7530693 -43.5623642 9.139 0.790 0.900 5243.0 4.59 nan
 TOI-4308 b: 2.616 2.419 nan 0.0867 9.15120 763.1 0
>TOI-431: 83.2692502 -26.7238698 6.723 0.730 0.780 4850.0 4.60 0.20
 TOI-431 b: 1.012 1.280 3.070 0.0113 0.49005 1879.7 0
 TOI-431 c: nan nan 2.830 0.0520 4.84940 876.3 1
 TOI-431 d: 3.320 3.290 9.900 0.0980 12.46103 638.3 0
>TOI-4329: 329.5639152 71.1316048 10.630 2.310 1.540 6000.0 3.90 0.29
 TOI-4329 b: 5.556 16.813 143.023 0.0462 2.92230 2045.9 0
>TOI-4336 A: 206.1070129 -40.3373505 8.632 0.330 0.330 3298.0 4.93 -0.21
 TOI-4336 A b: 2.090 2.120 nan 0.0872 16.33633 309.4 0
>TOI-4342: 324.3894196 -77.9791468 9.018 0.600 0.630 3901.0 4.69 nan
 TOI-4342 b: 2.215 2.266 nan 0.0525 5.53825 635.9 0
 TOI-4342 c: 2.820 2.415 nan 0.0814 10.68872 510.7 0
>TOI-4377: 164.9324709 -82.2213501 9.148 3.520 1.360 4974.0 3.39 0.20
 TOI-4377 b: 8.413 15.110 304.162 0.0579 4.37808 1870.1 0
>TOI-4379: 252.0478813 -32.4337532 10.732 1.980 1.370 6020.0 3.93 0.16
 TOI-4379 b: 5.188 16.690 353.743 0.0426 3.25352 1978.3 0
>TOI-4406: 18.0485164 -56.9253875 9.730 1.290 1.190 6219.0 4.29 0.10
 TOI-4406 b: 3.986 11.209 95.349 0.2010 30.08364 759.7 0
>TOI-4438: 270.3172389 35.5948992 8.869 0.370 0.370 3422.0 4.68 -0.19
 TOI-4438 b: 2.021 2.520 5.400 0.0534 7.44628 434.4 0
>TOI-444: 64.1839982 -26.7664071 7.832 0.780 0.960 5225.0 4.64 0.08
 TOI-444 b: 3.761 2.770 nan 0.1330 17.96360 610.2 0
>TOI-4443: 274.2686643 21.9095459 7.010 1.020 1.050 5834.0 4.44 nan
 TOI-4443.01: 2.518 1.719 nan 0.0300 1.84986 1641.4 0
>TOI-4463 A: 279.3581286 18.7299522 9.402 1.060 1.060 5640.0 4.41 0.25
 TOI-4463 A b: 1.850 13.260 252.356 0.0404 2.88072 1393.8 0
>TOI-4479: 316.0969388 24.6536739 10.647 0.450 0.450 3400.0 4.50 0.00
 TOI-4479 b: 1.169 2.820 nan 0.0164 1.15890 858.8 0
>TOI-4495: 286.3624951 37.0259902 8.217 1.340 1.170 6156.0 4.25 nan
 TOI-4495.01: 2.783 3.630 nan 0.0617 5.18300 1383.0 0
>TOI-451: 62.9663850 -37.9397300 9.190 0.880 0.950 5550.0 4.56 nan
 TOI-451 b: 2.038 1.910 nan 0.0283 1.85870 1492.4 0
 TOI-451 c: 3.559 3.100 nan 0.0823 9.19252 875.1 0
 TOI-451 d: 4.097 4.070 nan 0.1208 16.36499 722.3 0
>TOI-4515: 21.1861778 21.5130638 10.134 0.860 0.950 5433.0 4.48 0.05
 TOI-4515 b: 3.240 12.170 637.000 0.1180 15.26645 707.3 0
>TOI-4527: 19.4722574 5.4711996 7.020 0.490 0.480 3702.0 4.75 nan
 TOI-4527.01: 0.803 0.909 nan 0.0083 0.39944 1369.0 0
>TOI-4551: 184.9787579 -25.8278531 7.524 3.550 1.310 4896.0 3.48 0.23
 TOI-4551 b: 10.474 11.859 473.564 0.0994 9.95581 1410.9 0
>TOI-4559: 211.0135378 -30.0141252 8.619 0.370 0.390 3558.0 4.88 -0.09
 TOI-4559 b: 1.390 1.415 nan 0.0359 3.96599 550.8 0
>TOI-4562: 112.0100593 -63.5177788 10.619 1.150 1.190 6096.0 4.39 0.08
 TOI-4562 b: 4.320 11.898 732.000 0.8038 225.10640 351.6 0
 TOI-4562 c: nan nan 1833.870 5.2190 3990.00000 138.0 0
>TOI-4582: 256.8601374 68.8656263 9.329 2.500 1.340 5190.0 3.77 0.17
 TOI-4582 b: 12.059 10.536 168.449 0.2131 31.03400 857.2 0
>TOI-4600: 258.4503674 64.5661727 10.571 0.810 0.890 5170.0 4.57 0.16
 TOI-4600 b: 7.540 6.800 959.842 0.3490 82.68690 379.8 0
 TOI-4600 c: 11.140 9.420 2946.269 1.1520 482.81910 209.0 0
>TOI-4602: 60.6003316 31.3298354 6.883 1.160 1.120 6011.9 4.36 nan
 TOI-4602.01: 3.468 2.550 nan 0.0510 3.98121 1382.6 0
>TOI-4603: 83.8659288 21.2942417 7.786 2.740 1.760 6264.0 3.81 0.34
 TOI-4603 b: 2.854 11.680 4096.808 0.0888 7.24599 1677.9 0
>TOI-4633: 256.8431021 62.4755480 7.349 1.050 1.100 5800.0 4.02 nan
 TOI-4633 c: 11.450 3.200 123.000 0.8470 271.94450 311.4 0
>TOI-4641: 42.5582023 25.3335334 6.579 1.720 1.410 6560.0 4.11 -0.09
 TOI-4641 b: 5.438 8.183 1229.996 0.1730 22.09341 997.4 0
>TOI-470: 94.0099043 -25.0314111 9.422 0.830 0.870 5190.0 4.54 0.10
 TOI-470 b: 3.063 4.340 nan 0.1190 12.19148 660.9 0
>TOI-4791: 109.3883818 -19.8289392 10.019 1.410 1.240 6058.0 4.23 0.21
 TOI-4791 b: 3.334 12.442 734.184 0.0555 4.28088 1472.4 0
>TOI-480: 88.3784618 -16.2653974 6.010 1.490 1.280 6174.0 4.19 0.16
 TOI-480 b: 3.571 2.854 20.800 0.0770 6.86620 1309.6 0
>TOI-481: 110.5126861 -57.3849980 8.443 1.660 1.140 5735.0 4.06 0.26
 TOI-481 b: 5.626 11.097 486.280 0.0970 10.33111 1144.0 0
>TOI-4860: 183.5639610 -13.1748411 11.175 0.360 0.340 3260.0 4.86 0.27
 TOI-4860 b: 1.231 8.700 86.700 0.0181 1.52276 701.5 0
>TOI-4914: 204.5426717 -28.1429206 10.706 1.000 1.030 5805.0 4.30 -0.13
 TOI-4914 b: 2.900 12.870 227.000 0.0980 10.60057 894.2 0
>TOI-500: 106.5590980 -47.5878156 7.715 0.680 0.740 4440.0 4.62 0.12
 TOI-500 b: 0.998 1.166 1.420 0.0119 0.54818 1619.1 0
 TOI-500 c: nan nan 5.030 0.0625 6.63560 706.2 1
 TOI-500 d: nan nan 33.120 0.1563 26.23300 446.6 1
 TOI-500 e: nan nan 15.050 0.2752 61.30000 336.5 1
>TOI-5005: 238.1081940 -48.1451000 10.004 0.930 0.970 5749.0 4.43 0.15
 TOI-5005 b: 3.144 6.250 32.700 0.0661 6.30850 1039.5 0
>TOI-5076: 50.5104166 17.2392094 8.582 0.780 0.800 5070.0 4.60 0.20
 TOI-5076 b: 5.200 3.200 16.000 0.1233 23.44500 614.8 0
>TOI-5082: 106.5695780 22.6831477 6.613 0.930 1.000 5670.0 4.50 nan
 TOI-5082.01: 2.388 2.548 nan 0.0512 4.24012 1165.2 0
>TOI-5126: 151.6597827 18.6340631 8.777 1.240 1.240 6150.0 4.22 0.18
 TOI-5126 b: 3.726 4.740 nan 0.0652 5.45884 1293.4 0
 TOI-5126 c: 5.340 3.860 nan 0.1439 17.89990 870.5 0
>TOI-5153: 91.5403204 -19.9534443 10.408 1.400 1.240 6300.0 4.30 0.12
 TOI-5153 b: 4.870 11.882 1036.121 0.1580 20.33003 904.3 0
>TOI-5174: 174.1094967 -2.0233506 9.600 1.090 1.000 5643.8 4.36 0.41
 TOI-5174 b: 4.888 5.351 nan 0.1038 12.21429 881.9 0
>TOI-519: 124.6067582 -19.6627918 11.951 0.350 0.340 3322.0 4.87 0.27
 TOI-519 b: 1.212 11.545 147.155 0.0159 1.26523 751.6 0
>TOI-5205: 313.7706819 24.3609770 11.006 0.390 0.390 3430.0 4.84 0.00
 TOI-5205 b: 1.400 11.600 343.000 0.0199 1.63076 732.2 0
>TOI-5218: 292.6634642 71.7629612 12.546 0.710 0.740 4230.0 4.63 0.41
 TOI-5218 b: 2.380 9.860 657.000 0.0469 4.29145 793.6 0
>TOI-5232: 294.3374248 35.2764934 10.857 1.780 1.390 6500.0 4.08 -0.10
 TOI-5232 b: 4.783 12.778 743.718 0.0559 4.09667 1768.2 0
>TOI-5238: 223.3588909 68.8594720 10.627 1.020 1.000 5631.0 4.42 nan
 TOI-5238 b: 2.584 5.220 nan 0.0562 4.87217 1156.3 0
>TOI-5293 A: 355.8286820 -2.0450945 11.639 0.520 0.540 3586.0 4.77 -0.03
 TOI-5293 A b: 1.940 11.900 170.400 0.0340 2.93029 676.2 0
>TOI-530: 103.4128333 12.8815784 11.238 0.540 0.530 3659.0 4.70 0.38
 TOI-530 b: 2.566 9.303 127.131 0.0520 6.38760 568.6 0
>TOI-5301: 12.9908008 13.0783712 10.336 2.190 1.480 6240.0 3.93 0.03
 TOI-5301 b: 3.938 13.092 1182.322 0.0730 5.85886 1648.1 0
>TOI-5319: 35.2135563 23.5204408 9.553 0.480 0.500 3580.0 4.50 nan
 TOI-5319 b: 1.561 2.830 nan 0.0506 4.07853 531.7 0
>TOI-532: 85.0800537 11.5626373 10.587 0.610 0.640 3927.0 4.67 0.34
 TOI-532 b: 1.750 5.820 61.500 0.0296 2.32665 859.6 0
>TOI-5344: 63.2662165 20.9151568 10.860 0.590 0.610 3747.0 4.69 0.42
 TOI-5344 b: 1.773 10.604 130.945 0.0404 3.79262 690.4 0
>TOI-5388: 152.1765169 35.5475571 8.319 0.310 0.290 3495.0 4.91 nan
 TOI-5388.01: 0.313 1.894 nan 0.0243 2.59468 601.5 0
>TOI-5398: 161.8795569 36.3294345 8.713 1.050 1.150 6000.0 4.44 0.09
 TOI-5398 b: 4.258 10.300 58.700 0.0980 10.59055 947.0 0
 TOI-5398 c: 3.127 3.520 11.800 0.0570 4.77271 1241.8 0
>TOI-540: 76.3096949 -47.9375391 8.900 0.190 0.160 3216.0 4.44 nan
 TOI-540 b: 0.489 0.903 nan 0.0122 1.23915 611.2 0
>TOI-544: 82.2900716 -0.3428983 7.800 0.620 0.630 4169.0 4.68 -0.17
 TOI-544 b: 1.210 2.018 2.890 0.0225 1.54835 1055.3 0
 TOI-544 c: nan nan 21.500 0.2280 50.08900 331.5 1
>TOI-5542: 302.7984228 -61.1354659 10.897 1.060 0.890 5700.0 4.20 -0.21
 TOI-5542 b: 8.599 11.310 419.534 0.3320 75.12375 491.1 0
>TOI-558: 42.2915093 -58.0246828 10.262 1.500 1.350 6466.0 4.22 -0.00
 TOI-558 b: 2.705 12.173 1147.361 0.1291 14.57407 1062.8 0
>TOI-559: 46.8186159 -31.1629951 9.638 1.230 1.030 5925.0 4.27 -0.07
 TOI-559 b: 5.150 12.229 1910.149 0.0723 6.98391 1178.4 0
>TOI-561: 148.1851516 6.2161030 8.394 0.840 0.810 5372.0 4.50 -0.40
 TOI-561 b: 1.310 1.425 2.000 0.0106 0.44657 2306.0 0
 TOI-561 c: 3.750 2.910 5.390 0.0884 10.77883 798.5 0
 TOI-561 d: 4.540 2.820 13.200 0.1580 25.71240 597.3 0
 TOI-561 e: 6.980 2.550 12.600 0.3280 77.03000 414.5 0
>TOI-5616: 184.9016378 48.6832895 12.735 0.650 0.670 3996.0 4.67 0.14
 TOI-5616 b: 1.660 10.780 624.000 0.0272 2.00285 942.0 0
>TOI-5634 A: 175.6436366 20.9652921 12.913 0.540 0.560 3896.0 4.73 -0.27
 TOI-5634 A b: 1.670 10.420 588.000 0.0272 2.20354 837.1 0
>TOI-564: 130.2951535 -16.0363275 9.604 1.090 1.000 5640.0 4.36 0.14
 TOI-564 b: 1.027 11.433 464.985 0.0273 1.65114 1717.2 0
>TOI-5678: 47.3841872 -34.1984808 9.563 0.940 0.910 5485.0 4.34 0.00
 TOI-5678 b: 6.960 4.910 20.000 0.2490 47.73022 513.9 0
>TOI-5704: 169.8248694 44.9890782 9.021 0.760 0.730 4590.0 4.54 0.43
 TOI-5704 b: 2.338 3.227 nan 0.0413 3.77112 949.1 0
>TOI-5713: 208.4587323 52.6027628 10.217 0.300 0.270 3225.0 4.91 -0.03
 TOI-5713 b: 1.750 1.770 nan 0.0601 10.44199 347.5 0
>TOI-5720: 170.3135774 25.2732942 9.288 0.380 0.380 3325.0 5.01 0.03
 TOI-5720 b: 1.020 1.090 4.300 0.0183 1.43446 730.9 0
>TOI-5799: 301.6301790 15.9891418 8.952 0.330 0.340 3514.0 4.93 -0.08
 TOI-5799 b: 1.420 1.625 nan 0.0352 4.16475 518.8 0
>TOI-5803: 327.2487497 6.2781777 8.684 0.760 0.870 5134.0 4.61 nan
 TOI-5803 b: 1.382 3.273 nan 0.1011 5.38305 678.9 0
>TOI-6002: 299.6142524 32.2871702 10.175 0.240 0.210 3229.0 4.99 -0.18
 TOI-6002 b: 1.657 1.650 nan 0.0572 10.90482 318.9 0
>TOI-6008: 310.4487344 49.6468992 9.541 0.240 0.230 3075.0 5.01 0.30
 TOI-6008 b: 0.650 1.030 4.000 0.0108 0.85743 699.7 0
>TOI-6029: 8.3862555 61.8607659 10.369 2.340 1.550 6223.0 3.89 0.37
 TOI-6029 b: 5.684 14.392 519.649 0.0780 5.79870 1643.3 0
>TOI-6034: 317.9001392 68.4020762 11.016 0.490 0.510 3635.0 4.77 -0.09
 TOI-6034 b: 1.560 11.920 254.000 0.0295 2.57618 714.5 0
>TOI-6086: 265.3704236 30.3037755 9.989 0.260 0.250 3200.0 5.01 0.11
 TOI-6086 b: 0.700 1.180 nan 0.0154 1.38887 633.8 0
>TOI-615: 133.4086892 -40.5437010 9.669 1.730 1.450 6850.0 4.20 -0.10
 TOI-615 b: 4.241 18.977 138.255 0.0678 4.66160 1668.5 0
>TOI-620: 142.1734459 -12.1671652 7.954 0.550 0.580 3708.0 4.72 0.35
 TOI-620 b: 1.360 3.760 nan 0.0483 5.09882 603.7 0
>TOI-622: 125.3050544 -46.4842959 7.858 1.420 1.310 6400.0 4.20 0.09
 TOI-622 b: 3.907 9.236 96.302 0.0708 6.40251 1382.1 0
>TOI-6255: 331.5031606 39.2988284 8.071 0.370 0.350 3421.0 4.85 -0.14
 TOI-6255 b: 0.476 1.079 1.440 0.0053 0.23818 1373.9 0
>TOI-628: 99.2630608 1.7675497 8.811 1.340 1.310 6250.0 4.30 0.26
 TOI-628 b: 3.782 11.882 2011.864 0.0486 3.40957 1582.5 0
>TOI-640: 99.7345935 -36.6461300 9.243 2.080 1.540 6460.0 3.99 0.07
 TOI-640 b: 3.605 19.851 279.690 0.0661 5.00378 1747.7 0
>TOI-654: 164.7245509 -5.5475446 9.918 0.430 0.530 3433.0 4.90 nan
 TOI-654.01: 1.120 2.371 nan 0.0210 1.52757 748.7 0
>TOI-663: 160.0658525 -8.5110827 9.607 0.510 0.510 3681.0 4.73 0.07
 TOI-663 b: 1.664 2.270 4.450 0.0295 2.59890 738.0 0
 TOI-663 c: 2.520 2.260 3.650 0.0437 4.69555 606.4 0
 TOI-663 d: 2.754 1.920 5.200 0.0576 7.10273 528.2 0
>TOI-6651: 15.7885904 35.3890405 8.684 1.720 1.320 5940.0 4.09 0.23
 TOI-6651 b: 3.610 5.090 61.000 0.0633 5.05697 1493.1 0
>TOI-669: 158.9007013 -5.1813735 9.134 0.990 0.920 5597.0 4.41 0.00
 TOI-669 b: 2.871 2.586 10.000 0.0480 3.94515 1225.7 0
>TOI-672: 167.9908627 -39.3281151 9.507 0.540 0.540 3765.0 4.70 -0.71
 TOI-672 b: 1.781 5.260 nan 0.0389 3.63357 676.1 0
>TOI-674: 164.5865592 -36.8581092 9.469 0.420 0.420 3514.0 4.81 0.17
 TOI-674 b: 1.110 5.250 23.600 0.0250 1.97714 694.5 0
>TOI-677: 144.1193594 -50.4630933 8.429 1.280 1.180 6295.0 4.29 0.00
 TOI-677 b: 2.578 13.115 392.838 0.1038 11.23660 1065.9 0
>TOI-700: 97.0957165 -65.5786149 8.634 0.420 0.410 3459.0 4.81 -0.07
 TOI-700 b: 2.170 0.914 nan 0.0677 9.97722 415.4 0
 TOI-700 c: 1.420 2.600 nan 0.0929 16.05114 354.7 0
 TOI-700 d: 3.314 1.073 nan 0.1633 37.42396 267.5 0
 TOI-700 e: 2.777 0.953 nan 0.1340 27.80978 295.3 0
>TOI-712: 92.9361063 -65.8258386 8.313 0.670 0.730 4622.0 4.64 -0.02
 TOI-712 b: 1.735 2.049 nan 0.0793 9.53136 647.9 0
 TOI-712 c: 4.843 2.701 nan 0.2447 51.69906 368.8 0
 TOI-712 d: 5.702 2.474 nan 0.3405 84.83960 312.6 0
>TOI-715: 113.8523276 -73.5774089 10.917 0.240 0.230 3075.0 5.00 -0.25
 TOI-715 b: 1.980 1.550 nan 0.0830 19.28800 252.1 0
>TOI-733: 159.4093183 -40.8882590 7.845 0.950 0.960 5585.0 4.47 -0.04
 TOI-733 b: 2.610 1.992 5.720 0.0618 4.88476 1055.9 0
>TOI-757: 187.9948428 -35.5544523 7.874 0.780 0.800 5278.0 4.50 -0.27
 TOI-757 b: 3.720 2.500 10.500 0.1220 17.46819 643.5 0
>TOI-762 A: 166.0747423 -47.8214964 11.084 0.420 0.440 3266.0 4.83 0.36
 TOI-762 A b: 1.389 8.339 79.775 0.0342 3.47168 552.1 0
>TOI-763: 194.4680980 -39.7580613 8.490 0.900 0.920 5450.0 4.45 0.01
 TOI-763 b: 3.021 2.280 9.790 0.0600 5.60570 1017.8 0
 TOI-763 c: 3.840 2.630 9.320 0.1011 12.27370 784.1 0
>TOI-771: 164.1138903 -72.9851736 9.664 0.240 0.220 3201.0 5.01 0.12
 TOI-771 b: 1.010 1.422 nan 0.0207 2.32602 525.6 0
>TOI-776: 178.5779970 -37.5533568 7.615 0.550 0.540 3725.0 4.80 -0.21
 TOI-776 b: 2.382 1.798 5.000 0.0653 8.24662 521.3 0
 TOI-776 c: 2.932 2.047 6.900 0.1001 15.66532 421.0 0
>TOI-778: 199.3338503 -15.2737046 8.055 1.710 1.400 6643.0 4.05 0.00
 TOI-778 b: 3.760 15.400 878.000 0.0600 4.63361 1710.1 0
>TOI-782: 183.9203614 -18.9103377 9.860 0.410 0.400 3370.0 4.80 0.34
 TOI-782 b: 1.708 2.734 19.100 0.0578 8.02400 432.8 0
>TOI-813: 72.6940102 -60.9054608 9.029 1.940 1.320 5907.0 3.86 0.10
 TOI-813 b: 13.033 6.710 nan 0.4230 83.89110 610.0 0
>TOI-815: 155.8719377 -43.8349248 7.999 0.770 0.780 4869.0 4.51 -0.09
 TOI-815 b: 3.379 2.940 7.600 0.0903 11.19726 685.6 0
 TOI-815 c: 2.970 2.620 23.500 0.1930 34.97615 469.0 0
>TOI-824: 222.1654705 -57.5888666 8.432 0.690 0.710 4600.0 4.61 -0.09
 TOI-824 b: 1.153 2.926 18.467 0.0218 1.39298 1248.8 0
>TOI-833: 145.6454720 -62.4758857 8.146 0.600 0.610 3920.0 4.67 nan
 TOI-833 b: 1.274 1.270 nan 0.0171 1.04188 1119.7 0
>TOI-836: 225.0798831 -24.4542022 6.804 0.670 0.680 4552.0 4.74 -0.28
 TOI-836 b: 1.805 1.704 4.530 0.0422 3.81673 874.6 0
 TOI-836 c: 2.486 2.587 9.600 0.0750 8.59545 656.1 0
>TOI-837: 157.0372806 -64.5052107 8.933 1.050 1.140 5995.0 4.45 0.01
 TOI-837 b: 1.983 9.169 120.457 0.0888 8.32491 994.1 0
